Event Name,Event Date,Link,ScrapedAtUTC,uid
SAVAYA MONDAY,"MONDAY
3
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya monday|monday 3 november|https://www.savaya.com/event-calendar#
SAVAYA TUESDAY,"TUESDAY
4
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya tuesday|tuesday 4 november|https://www.savaya.com/event-calendar#
SAVAYA WEDNESDAY,"WEDNESDAY
5
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya wednesday|wednesday 5 november|https://www.savaya.com/event-calendar#
SAVAYA THURSDAY,"THURSDAY
6
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya thursday|thursday 6 november|https://www.savaya.com/event-calendar#
FULL MOON,"FRIDAY
7
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,full moon|friday 7 november|https://www.savaya.com/event-calendar#
HAYDEN JAMES,"SATURDAY
8
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,hayden james|saturday 8 november|https://www.savaya.com/event-calendar#
DEFECTED,"SUNDAY
9
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,defected|sunday 9 november|https://www.savaya.com/event-calendar#
SAVAYA MONDAY,"MONDAY
10
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya monday|monday 10 november|https://www.savaya.com/event-calendar#
SAVAYA TUESDAY,"TUESDAY
11
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya tuesday|tuesday 11 november|https://www.savaya.com/event-calendar#
SAVAYA WEDNESDAY,"WEDNESDAY
12
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya wednesday|wednesday 12 november|https://www.savaya.com/event-calendar#
SAVAYA THURSDAY,"THURSDAY
13
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya thursday|thursday 13 november|https://www.savaya.com/event-calendar#
ALOK,"FRIDAY
14
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,alok|friday 14 november|https://www.savaya.com/event-calendar#
DAMIAN LAZARUS,"SATURDAY
15
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,damian lazarus|saturday 15 november|https://www.savaya.com/event-calendar#
PATRICK MASON,"SUNDAY
16
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,patrick mason|sunday 16 november|https://www.savaya.com/event-calendar#
SAVAYA MONDAY,"MONDAY
17
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya monday|monday 17 november|https://www.savaya.com/event-calendar#
SAVAYA TUESDAY,"TUESDAY
18
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya tuesday|tuesday 18 november|https://www.savaya.com/event-calendar#
SAVAYA WEDNESDAY,"WEDNESDAY
19
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya wednesday|wednesday 19 november|https://www.savaya.com/event-calendar#
SAVAYA THURSDAY,"THURSDAY
20
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya thursday|thursday 20 november|https://www.savaya.com/event-calendar#
PEOPLE OF THE SUN,"FRIDAY
21
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,people of the sun|friday 21 november|https://www.savaya.com/event-calendar#
CAMELPHAT,"SATURDAY
22
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,camelphat|saturday 22 november|https://www.savaya.com/event-calendar#
GIOLÌ & ASSIA,"SUNDAY
23
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,giolì & assia|sunday 23 november|https://www.savaya.com/event-calendar#
SAVAYA MONDAY,"MONDAY
24
NOVEMBER",https://www.savaya.com/event-calendar#,2025-11-03T06:33:48Z,savaya monday|monday 24 november|https://www.savaya.com/event-calendar#
