Event Name,Event Venue,Link,Source,ScrapedAtUTC,uid,Event Date,Venue,Scraped At (UTC)
BLUE LIVE IN ASIA,,https://www.livenationtero.co.th/en/event/blue-live-in-asia-bangkok-tickets-edp1613254,,2025-11-17T02:49:31Z,blue live in asia|https://www.livenationtero.co.th/en/event/blue-live-in-asia-bangkok-tickets-edp1613254,23-Nov-25,,12/11/2025 8:56
TV Girl Perform Their Hits Live,,https://www.livenationtero.co.th/en/event/tv-girl-perform-their-hits-live-bangkok-tickets-edp1606725,,2025-11-17T02:49:31Z,tv girl perform their hits live|https://www.livenationtero.co.th/en/event/tv-girl-perform-their-hits-live-bangkok-tickets-edp1606725,1-Dec-25,,12/11/2025 8:57
TWICE <THIS IS FOR> WORLD TOUR IN BANGKOK,,https://www.livenationtero.co.th/en/event/twice-this-is-for-world-tour-in-bangkok-bangkok-tickets-edp1610030,,2025-11-17T02:49:31Z,twice <this is for> world tour in bangkok|https://www.livenationtero.co.th/en/event/twice-this-is-for-world-tour-in-bangkok-bangkok-tickets-edp1610030,13-Dec-25,"🗓️Saturday 13 & Sunday 14 December 2025 📍IMPACT Arena, Bangkok",12/11/2025 8:57
Doja Cat – Ma Vie World Tour,,https://www.livenationtero.co.th/en/event/doja-cat-ma-vie-world-tour-bangkok-tickets-edp1615452,,2025-11-17T02:49:31Z,doja cat – ma vie world tour|https://www.livenationtero.co.th/en/event/doja-cat-ma-vie-world-tour-bangkok-tickets-edp1615452,18-Dec-25,"*Seating, prices, and VIP packages are dropping soon… stay tuned!",12/11/2025 8:57
Brasero Loco - All you can eat Buffet!,Blue Parrot Bkk,https://megatix.in.th/events/brasero-loco?source=home,Megatix TH,2025-11-12T09:05:54Z,brasero loco - all you can eat buffet!|https://megatix.in.th/events/brasero-loco?source=home,,,12/11/2025 9:07
Halfmoon Festival : 13th & 14th December 2025,HalfMoon Festival,https://megatix.in.th/events/halfmoon-festival-13th-14th-december-2025?source=home,Megatix TH,2025-11-12T09:05:54Z,halfmoon festival : 13th & 14th december 2025|https://megatix.in.th/events/halfmoon-festival-13th-14th-december-2025?source=home,,,12/11/2025 9:07
Halfmoon Festival : 27th & 28th December 2025,HalfMoon Festival,https://megatix.in.th/events/halfmoon-festival-27th-28th-december-2025?source=home,Megatix TH,2025-11-12T09:05:54Z,halfmoon festival : 27th & 28th december 2025|https://megatix.in.th/events/halfmoon-festival-27th-28th-december-2025?source=home,,,12/11/2025 9:07
OneWomenFestival,Merkaba,https://megatix.in.th/events/onewomenfestival?source=home,Megatix TH,2025-11-12T09:05:54Z,onewomenfestival|https://megatix.in.th/events/onewomenfestival?source=home,,,12/11/2025 9:07
BALLET SOUNDTRACK SHOW - New Year Program - Bangkok,Phenix Grand Ballroom,https://megatix.in.th/events/ballet-soundtrack-show-new-year-bangkok?source=home,Megatix TH,2025-11-12T09:05:54Z,ballet soundtrack show - new year program - bangkok|https://megatix.in.th/events/ballet-soundtrack-show-new-year-bangkok?source=home,,,12/11/2025 9:07
Ma Chérie - Ladies Night,Pastel Rooftop Bar & Mediterranean Dining,https://megatix.in.th/events/ma-chrie-ladies-night?source=home,Megatix TH,2025-11-12T09:05:54Z,ma chérie - ladies night|https://megatix.in.th/events/ma-chrie-ladies-night?source=home,,,12/11/2025 9:07
