Title,Date,Location,Link,TimeScraped
TWICE <THIS IS FOR> WORLD TOUR IN KUALA LUMPUR,SAT 25 OCT,Kuala Lumpur | National Hockey Stadium,https://www.livenation.my/event/twice-this-is-for-world-tour-in-kuala-lumpur-kuala-lumpur-tickets-edp1616419,
Babyface: Greatest Hits Concert Live in Kuala Lumpur,THU 30 OCT,Kuala Lumpur | Idea Live Arena,https://www.livenation.my/event/babyface-greatest-hits-concert-live-in-kuala-lumpur-kuala-lumpur-tickets-edp1611859,
JONATHAN LEE 2025 [THOSE SONGS THROUGH THE YEARS] WORLD TOUR IN MALAYSIA,SAT 22 NOV,Kuala Lumpur | Axiata Arena,https://www.livenation.my/event/jonathan-lee-2025-those-songs-through-the-years-world-tour-in-malaysia-kuala-lumpur-tickets-edp1619960,
2025 NCT DREAM TOUR <THE DREAM SHOW 4 : DREAM THE FUTURE> in KUALA LUMPUR,13 DEC 14 DEC,Kuala Lumpur | Axiata Arena,https://www.livenation.my/event/2025-nct-dream-tour-the-dream-show-4-dream-the-future-in-kuala-lumpur-kuala-lumpur-tickets-edp1614152,
DAY6 10th Anniversary Tour <The DECADE> in KUALA LUMPUR,SAT 31 JAN,Kuala Lumpur | Axiata Arena,https://www.livenation.my/event/day6-10th-anniversary-tour-the-decade-in-kuala-lumpur-kuala-lumpur-tickets-edp1619509,
Bryan Adams : Roll with the Punches,FRI 06 FEB,Kuala Lumpur | Idea Live Arena,https://www.livenation.my/event/bryan-adams-roll-with-the-punches-kuala-lumpur-tickets-edp1625628,
ONE OK ROCK DETOX Asia Tour 2026 in Kuala Lumpur,WED 29 APR,Kuala Lumpur | Axiata Arena,https://www.livenation.my/event/one-ok-rock-detox-asia-tour-2026-in-kuala-lumpur-kuala-lumpur-tickets-edp1624599,
,,,,
MUSICAL NAN KONG CONCERT VERSION,KLCC,Dewan Filharmonik Petronas,https://myticket.asia/events/musical-nan-kong-concert-version/?occurrence=2025-10-28,
THE INCREDIBLE VOYAGE OF ALASDAIR MALLOY,DATE 23 May 2026,LOCATION Dewan Filharmonik Petronas KLCC,https://myticket.asia/events/the-incredible-voyage-of-alasdair-malloy/?occurrence=2026-05-23,
A TRIBUTE TO SHARIFAH AINI,DATE 06 Jun 2026,LOCATION Dewan Filharmonik Petronas KLCC,https://myticket.asia/events/a-tribute-to-sharifah-aini/?occurrence=2026-06-06,
"JAZZ, CLASSICAL AND BEYOND WITH THE MPO",DATE 13 Jun 2026,LOCATION Dewan Filharmonik Petronas KLCC,https://myticket.asia/events/jazz-classical-and-beyond-with-the-mpo/?occurrence=2026-06-13,
ARCTIC WINDS AND SUMMER SUN,DATE 20 Jun 2026,LOCATION Dewan Filharmonik Petronas KLCC,https://myticket.asia/events/arctic-winds-and-summer-sun/?occurrence=2026-06-20,
SYMPHONIC GHIBLI II,DATE 03 - 04 Jul 2026,LOCATION Dewan Filharmonik Petronas KLCC,https://myticket.asia/events/symphonic-ghibli-ii/?occurrence=2026-07-03&time=1783108800,
