event_name,event_description,event_date,event_url,time_scraped_utc
Stand-up concert by Valery Artyukhov,"Valera Artyukhov's solo concert at Shaman Lounge Bar!

 For the first time in Phuket! On December 11th, Valera Artyukhov will perform on the Shaman Lounge stage. He is a popular stand-up comedian, a resident of the comedy show ""Stand Up"" on TNT, a participant and writer of the show ""Prozharka,"" a participant in the project ""Bolshoy Show"" with Azamat Musagaliev, and a participant in ""Open Mic"" (TNT).

 The comedian admits: ""Generally, I adhere to the rule that comedy should be 50/50. Not super alternative, but also not pop, where you joke about old, tired topics we've all heard somewhere before. But most importantly, I enjoy not the edgy jokes, but the moments when the audience laughs at them. And I enjoy the process itself, finding that fine line where the audience laughs, even though they know it's still edgy, but they embrace it. I want it to be humorous, not offensive.""

 Thursday evening promises to be truly hilarious. Don't miss this exciting event!


 🗓️ December 11
 🕐 Starts at 8:00 PM
 📍 Place: SHAMAN PHUKET",11/12/2025,,2025-12-02T06:09:08.734845+00:00
Phuket Women's Awards 2025,"DECEMBER 19 | LOTUS ARENA 👑 MISS & MISSIS PHUKET 👑 WOMEN'S AWARDS 2025
 BEAUTY AND FEMALE PERFORMANCE CONTEST 🌺

 A major women's awards show, combined with the Grand Final & Coronation of Miss & Mrs Phuket 2025, where female strength, intelligence, beauty and leadership meet on one stage.

 🌟 What awaits you: ✨ Phuket Women's Awards — the island's first and largest women's awards ✨ Grand Final & Coronation of Miss & Mrs Phuket 2025 and 💰 PRIZE FUND ✨ Bright show numbers and musical performances ✨ Premium red carpet, press, photographers, interviews ✨ Special guests & top jury — the most beautiful women and bright faces of the island ✨ 500+ entrepreneurs, bloggers, media, investors and Phuket leaders ✨ Strong networking, insights, energy ✨ Raffles, gifts, surprises ✨ Grand AFTER PARTY 🎉

 💫 This isn't just an event. It's an arena for women's empowerment and a new generation of leaders.

 👗 Dress code: evening looks | Black tie 📍 LOTUS ARENA @lotus.arena.phuket 🕓 December 19 | 4:00 PM
 🎫 Tickets on sale soon!
 💌 For all questions regarding participation and cooperation -
 inst @yulia.eventclub
 +66 82 460 1565
 Tg @yulia_awards",19/12/2025,,2025-12-02T06:09:08.734845+00:00
The Divo duo on stage at Shaman Lounge,"The most charismatic violin duo continues their Asian expansion. They recently gave their debut concert in Phuket, and the applause hasn't died down yet. So, we decided to do it again!

 The Shaman Lounge stage will once again feature powerful hits from Hans Zimmer, A-ha, Avici, Alan Walker, and many others. If you want to be part of this incredible show, hurry—tickets are selling like hotcakes 🔥

 🗓️ December 22
 🕐 Starts at 7:00 PM",22/12/2025,,2025-12-02T06:09:08.734845+00:00
TILL LINDEMANN MEINE WELT TOUR,"Till Lindemann is a German musician, songwriter, poet, and actor. He is best known as the lead vocalist of the industrial metal group Rammstein. In December 2025 Till Lindemann will grant audiences an insight into the depths of his world! Fans can look forward to raw and completely reconceptualized big show on his solo “Meine Welt” tour in Lotus Arena on Phuket!

 📆 Show starts at 8 PM, 31 Dec 2025
 📍 Location: Lotus Arena Phuket
 🎉 Please note: This event is for guests 21 and over.",31/12/2025,,2025-12-02T06:09:08.734845+00:00
SHAMAN | BURN THE NIGHT 2026,"You've never seen a New Year like this!
 December 31 | SHAMAN, Phuket

 You walk in and immediately find yourself in the world of a post-apocalyptic ball: Harley bikes at the entrance, chains and metal in the decor, an industrial Christmas tree, smoke, lights and an atmosphere of real rock 'n' roll chaos.

 Welcome shots straight from the tubes, models in conceptual outfits, Mad Max-style photo zones, and 360-degree video in the smoke. Should we continue, or do you want to reserve a table already?!

 ⚡️ On stage:
 — Live broadcast of Till Lindemann (Rammstein) concert from the Lotus Arena stage
 — A driving vocal set from the DisCover team
 — Cover band Shaman Band
 — Wild interactives and the coronation of the King and Queen of the Night
 — Go-Go dancing and hardcore DJ sets until dawn

 🥩For guests:
 — Buffet with festive dishes
 - Unlimited soft drinks
 — A bottle of sparkling wine for two (included in the price)

 🎭 Dress code: Burn The Night — the bolder, the better.
 🕘 Start: 21:00 → 04:00
 🎟 Tables are limited.
 👉 This isn't New Year's. This is your personal revolution!",31/12/2025,,2025-12-02T06:09:08.734845+00:00
TYGA,"Get ready to kick off 2026 in absolute style — because on January 3rd, 2026, Lotus Arena Phuket is bringing you a full 60-minute live show headlined by none other than TYGA, with a special guest joining the stage!

 This isn't just another concert — it's the boldest party in Phuket, where music, luxury, and paradise collide. From exclusive VIP experiences to dancefloor madness under the stars, every moment is designed to make your first weekend of 2026 one to remember.

 Start your new year with TYGA's full headline show (60 minutes) and an exciting special guest appearance - only at Lotus Arena, Phuket.",3/1/2026,,2025-12-02T06:09:08.734845+00:00
Basta's concert,"Epic Stage Production x Basta Concert 2026

 🔥 BASTA in Phuket! 🔥

 On January 5, 2026, Russian hip-hop legend Basta will perform on the island's main stage, Lotus Arena! This evening promises to be historic.

 🎤 Hits that everyone knows: ""My Game,"" ""Urban,"" ""Sansara"" — tracks that unite generations and create an incredible atmosphere of unity and drive.

 📍 Lotus Arena is Phuket's largest professional venue, meeting international standards. One of Thailand's best stages, designed for thrilling action.

 🗓️ Monday, January 5, 2026
 📍 Venue: Lotus Arena, Phuket
 ⏰ Doors open at 5:30 PM

 Don't miss your chance to be part of a grand event that promises to energize you and give you an unforgettable, hot January evening!

 ⚠️ Age limit: 16+ Please bring proof of age.

 🎟 Buy tickets only through official channels. Stay safe and avoid scams!",5/1/2026,,2025-12-02T06:09:08.734845+00:00
SVETLANA LOBODA,"New Year's Eve—and immediately BLAST! 🔥

 On January 6th, on the stage of Lotus Arena Phuket -
 The legendary SVETLANA LOBODA! 💃

 After a fiery night in SHAMAN -
 We celebrate the first Monday of 2026 with hits,
 which the whole planet knows by heart:
 ""Your Eyes"", ""SuperSTAR"", ""Time to Go Home"", ""Hello"" and many others.

 💥 Powerful light, live sound, thousands of hearts, and energy that will make the whole island vibrate!

 📅 January 6 | Lotus Arena, Phuket
 ⏰ Doors open: 18:00 | Show: 20:00

 ✨ Start the year off right. Start it with Loboda.",6/1/2026,,2025-12-02T06:09:08.734845+00:00
The Knyazz group with your favorite KiSh hits!,"Andrey Knyazev and the band ""Knyazz"" are returning with a big themed concert dedicated to the legendary ""King and the Jester!""

 The ""Make Yourself at Home, Traveler"" program is a true punk fairy tale and a journey through time: from the first scary stories to folk rock anthems that we sing together!
 Lively action, beloved stories, and the very spirit of ""The King and the Jester"" - all this is already on January 8 in Phuket!

 Come, sing, jump, make yourself at home, Traveler!

 🗓️ January 8
 🕐 Opening hours: 6:00 PM
 🕐 Concert starts at 8:00 PM
 📍 Location: Lotus Arena",8/1/2026,,2025-12-02T06:09:08.734845+00:00
"KINO Group | ""The History of This World""","For the first time in Phuket! KINO performs ""The History of This World"" on the Lotus Arena stage.

 Yuri Kasparyan, Alexander Titov, Igor Tikhomirov and the real voice of Viktor Tsoi.

 After their reunion, KINO toured from Sakhalin to Kaliningrad, playing to sold-out houses. And now, their hits ""Star Named Sun,"" ""Kukushka,"" ""Peremen,"" and many others will be performed for the first time on the Lotus Arena stage in Phuket!


 🗓 Date: January 9
 🕐 Time: 19:00
 📍 Location: Lotus Arena, Phuket",9/1/2026,,2025-12-02T06:09:08.734845+00:00
