Title,Date,Location,Link
TWICE <THIS IS FOR> WORLD TOUR IN KUALA LUMPUR,"SAT
25
OCT",Kuala Lumpur | National Hockey Stadium,https://www.livenation.my/event/twice-this-is-for-world-tour-in-kuala-lumpur-kuala-lumpur-tickets-edp1616419
Babyface: Greatest Hits Concert Live in Kuala Lumpur,"THU
30
OCT",Kuala Lumpur | Idea Live Arena,https://www.livenation.my/event/babyface-greatest-hits-concert-live-in-kuala-lumpur-kuala-lumpur-tickets-edp1611859
,,Axiata Arena Bukit Jalil,https://my.bookmyshow.com/en/events/3P-2025/BMS3PGMY
,,"Arena of Stars, Resorts World Genting",https://my.bookmyshow.com/en/events/janice-vidal-out-of-frame-world-tour-in-malaysia/BMSJAN25
,,Zepp Kuala Lumpur,https://my.bookmyshow.com/en/events/cancelled-2025-loco-concert-scraps-tour-in-asia-malaysia/LOCOMY25
,,Axiata Arena Bukit Jalil,https://my.bookmyshow.com/en/events/jia-le-hokkien-hits-2025/BMSJIALE
,,"Mega Star Arena, Sungei Wang Plaza",https://my.bookmyshow.com/en/events/engelbert-humperdincks-last-waltz-farewell-tour-malaysia/BMSENGE1
,,IDEA LIVE ARENA,https://my.bookmyshow.com/en/events/2025-zerobaseone/BMSZBOKL
,,,https://my.bookmyshow.com/en/events/go-with-the-flow-lf-live-around-the-world-kuala-lumpur/GWTFKL25
,,"Mega Star Arena, Sungei Wang Plaza",https://my.bookmyshow.com/en/events/2025-ftisland-live-mad-happy-2025/FTMHKL25
,,Zepp Kuala Lumpur,https://my.bookmyshow.com/en/events/mika-kobayashi-2025/MIKAKL25
,,Axiata Arena Bukit Jalil,https://my.bookmyshow.com/en/events/2025-jonathan-lee-li-zong-sheng/BMSLZS25
,,IDEA LIVE ARENA,https://my.bookmyshow.com/en/events/hatsune-miku-expo-2025/BMSHATSU
,,Axiata Arena Bukit Jalil,https://my.bookmyshow.com/en/events/alan-tam-2025/BMSALANT
,,,https://my.bookmyshow.com/en/events/shila-amzah-priscilla-abby-2025/MALAMGMT
,,"Mega Star Arena, Sungei Wang Plaza",https://my.bookmyshow.com/en/events/yue-yunpeng-sun-yue-2025/DEYUNSHE
,,Axiata Arena Bukit Jalil,https://my.bookmyshow.com/en/events/leon-lai-2025/BMSLEONL
,,Zepp Kuala Lumpur,https://my.bookmyshow.com/en/events/man-with-a-mission-2025/MWAM25KL
2025 DIOR大穎《KAMPUNG GIRL 普通人》 首場個人演唱會,13 Dec 2025,"Arena of Stars, Resorts World Genting",https://my.bookmyshow.com/en/events/2025-dior-kampung-girl/KPGLDIOR
2025 WENDY 1st WORLD TOUR <W:EALIVE> IN KUALA LUMPUR,20 Dec 2025,Zepp Kuala Lumpur,https://my.bookmyshow.com/en/events/2025-wendy/WNDYKL25
痛仰 Miserable Faith  “The World Will Be Better²” 2026 东南亚巡演 – 吉隆坡,25 Jan 2026,,https://my.bookmyshow.com/en/events/miserable-faith-2026/MF2026MY
TOMORROW X TOGETHER WORLD TOUR <ACT : TOMORROW> IN KUALA LUMPUR,14 Feb 2026,Axiata Arena Bukit Jalil,https://my.bookmyshow.com/en/events/tomorrow-x-together-world-tour/BMSTXT26
