event_name,event_date,event_location,event_section,event_link,scraped_at_utc,uid
BRODIE NERO,21/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://mtix.me/brodie-web,2025-11-21 07:19:27+0000,brodie nero | 21/11/2025 | cafe del mar phuket | https://mtix.me/brodie-web
JAMIE JONES & DAMIAN LAZARUS | SEASON OPENING 2025,22/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://megatix.in.th/white-label/caf-del-mar-phuket-season-opening-2025?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=,2025-11-21 07:19:27+0000,jamie jones & damian lazarus | season opening 2025 | 22/11/2025 | cafe del mar phuket | https://megatix.in.th/white-label/caf-del-mar-phuket-season-opening-2025?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=
ZOO DEL MAR : COPACABANA,23/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://megatix.in.th/events/zoo-del-mar-nov-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=,2025-11-21 07:19:27+0000,zoo del mar : copacabana | 23/11/2025 | cafe del mar phuket | https://megatix.in.th/events/zoo-del-mar-nov-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=
TAZ MUTCHA,23/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,taz mutcha | 23/11/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
BLISS WEDNESDAYS,26/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,bliss wednesdays | 26/11/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
MR.SOUR B2B ELI CICADA,27/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,mr.sour b2b eli cicada | 27/11/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
BOB SINCLAR,28/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://mtix.me/bob-web,2025-11-21 07:19:27+0000,bob sinclar | 28/11/2025 | cafe del mar phuket | https://mtix.me/bob-web
FLOYD LAVINE,29/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://mtix.me/floyd-web,2025-11-21 07:19:27+0000,floyd lavine | 29/11/2025 | cafe del mar phuket | https://mtix.me/floyd-web
ZOO DEL MAR : COPACABANA,30/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://megatix.in.th/events/zoo-del-mar-nov-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=,2025-11-21 07:19:27+0000,zoo del mar : copacabana | 30/11/2025 | cafe del mar phuket | https://megatix.in.th/events/zoo-del-mar-nov-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=
SUNDAY CLUBROOM,30/11/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,sunday clubroom | 30/11/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
WEDNESDAY CLUBROOM,3/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,wednesday clubroom | 3/12/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
THURSDAY CLUBROOM,4/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,thursday clubroom | 4/12/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
FRIDAY CLUBROOM,5/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,friday clubroom | 5/12/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
SATURDAY CLUBROOM,6/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://phuket.cafedelmar.com/events#,2025-11-21 07:19:27+0000,saturday clubroom | 6/12/2025 | cafe del mar phuket | https://phuket.cafedelmar.com/events#
ZOO DEL MAR : COPACABANA,7/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://megatix.in.th/events/zoo-del-mar-dec-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=,2025-11-21 07:19:27+0000,zoo del mar : copacabana | 7/12/2025 | cafe del mar phuket | https://megatix.in.th/events/zoo-del-mar-dec-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=
MOBLACK,10/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://mtix.me/moblack-web,2025-11-21 07:19:27+0000,moblack | 10/12/2025 | cafe del mar phuket | https://mtix.me/moblack-web
ZOO DEL MAR : COPACABANA,14/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://megatix.in.th/events/zoo-del-mar-dec-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=,2025-11-21 07:19:27+0000,zoo del mar : copacabana | 14/12/2025 | cafe del mar phuket | https://megatix.in.th/events/zoo-del-mar-dec-copacabana-edition-cafe-del-mar-phuket?sk.pid=sk.1.1763709555364.6070990885&sk.sid=20251121.071915.8009150011&sk.fbp=fb.1.1763709555371.9625022494&sk.gacl=&sk.gases=
HUGEL,17/12/2025,Cafe Del Mar Phuket,Cafe Del Mar Phuket Events,https://mtix.me/hugel-web,2025-11-21 07:19:27+0000,hugel | 17/12/2025 | cafe del mar phuket | https://mtix.me/hugel-web
