event_name,event_venue,event_date,scraped_utc
Doja Cat – Ma Vie World Tour,Seoul | KINTEX Hall 10,2025-12-13T00:00:00Z,2025-11-21T08:22:04.349548+00:00
Amble,Seoul | Myunghwa Live Hall 5F Lounge,2026-02-02T00:00:00Z,2025-11-21T08:22:04.349548+00:00
OneRepublic,Seoul | 잠실 실내체육관,2026-02-23T00:00:00Z,2025-11-21T08:22:04.349548+00:00
ONE OK ROCK DETOX Asia Tour 2026 in Korea,Seoul | 잠실 실내체육관,2026-02-27T00:00:00Z,2025-11-21T08:22:04.349548+00:00
2025 Chuei Li Yu Fan Meeting ‘Drawing Yu’,Sejong University Daehangno Hall,2025.12.20 - 2025.12.20,2025-11-21T08:32:14.149616+00:00
Anime × Game Festival 2025 - Day 2 Ticket,KINTEX 1 Exhibition Hall 1/2/3/4/5 (Ilsan),2025.12.06 - 2025.12.06,2025-11-21T08:32:14.149616+00:00
2025 FTISLAND CONCERT ‘FTSODE’,광운대 동해문화예술회관/대극장,2025.12.27 - 2025.12.28,2025-11-21T08:32:14.149616+00:00
RIIZE PHOTO EXHIBITION [Silence: Inside the Fame 고요와 파동],ILMIN MUSEUM OF ART,2025.11.16 - 2025.11.30,2025-11-21T08:32:14.149616+00:00
BanG Dream! 10th exhibition,Space Galleria 서울 홍대/,2025.12.04 - 2026.02.01,2025-11-21T08:32:14.149616+00:00
Anime × Game Festival 2025 - Day 3 Ticket,KINTEX 1 Exhibition Hall 1/2/3/4/5 (Ilsan),2025.12.07 - 2025.12.07,2025-11-21T08:32:14.149616+00:00
Anime × Game Festival 2025 - Day 1 Ticket,KINTEX 1 Exhibition Hall 1/2/3/4/5 (Ilsan),2025.12.05 - 2025.12.05,2025-11-21T08:32:14.149616+00:00
"Bon appetit, Your Majesty’ YOONA Drama Fan Meeting IN SEOUL",SEOUL WOMEN’S UNIVERSITY MAIN AUDTORIUM,2025.12.20 - 2025.12.20,2025-11-21T08:32:14.149616+00:00
Q comes Q goes 2026 Sunset Rollercoaster in Seoul,KBS ARENA,2026.03.14 - 2026.03.14,2025-11-21T08:32:14.149616+00:00
2025 CHANYEOL B-day PARTY [FALLING FOR CHANYEOL],Sungshin Women＇s Univ．Woonjung Green Campus Grand Hall,2025.11.26 - 2025.11.26,2025-11-21T08:32:14.149616+00:00
2025 Brown Eyed Soul Soul CONCERT [SOUL Tricycle],Gocheok Sky Dome,2025.12.24 - 2025.12.31,2025-11-21T08:32:14.149616+00:00
MUSICAL 〈MAN IN HANBOK〉,CHUNGMU ARTS CENTER / GRAND THEATER,2025.12.02 - 2026.03.08,2025-11-21T08:32:14.149616+00:00
2025 can’t be blue BLUE LIVE : ROLLING HALL,Rolling Hall,2025.12.20 - 2025.12.20,2025-11-21T08:32:14.149616+00:00
EVE Concert Let’s dance!,WESTBRIDGE,2025.12.06 - 2025.12.06,2025-11-21T08:32:14.149616+00:00
Hyundai Card Curated 101 Seori,Hyundai Card UNDERSTAGE,2025.12.06 - 2025.12.07,2025-11-21T08:32:14.149616+00:00
NUT30 FESTIVAL - CRYING NUT with 10CM,KT&G Sangsangmadang Live hall,2025.12.08 - 2025.12.08,2025-11-21T08:32:14.149616+00:00
Anime × Game Festival 2025 3-Day Pass,KINTEX 1 Exhibition Hall 1/2/3/4/5 (Ilsan),2025.12.05 - 2025.12.07,2025-11-21T08:32:14.149616+00:00
"Jaedal, [action] Concert",SPACE BRICK,2025.12.13 - 2025.12.13,2025-11-21T08:32:14.149616+00:00
2025 Park Soeun Year-end Concert 〈Diary〉,"현대카드 UNDERSTAGE, 언더스테이지/",2025.12.20 - 2025.12.21,2025-11-21T08:32:14.149616+00:00
"[Seoul] 2025 Broccoli, you too? Winter concert - Moments we’ll never see again",Nodeulisland Live house,2025.12.23 - 2025.12.24,2025-11-21T08:32:14.149616+00:00
Kardi Live in Seoul 〈When The Lights Out〉,노들섬 라이브하우스/,2025.12.13 - 2025.12.13,2025-11-21T08:32:14.149616+00:00
SHIN SOOHYUN HAPPY CHRISTMAS CONCERT,Gurumare Theater,2025.12.25 - 2025.12.25,2025-11-21T08:32:14.149616+00:00
2025 K.will Concert 〈Good Luck〉,Kyung Hee University Grand Peace Hall,2025.12.06 - 2025.12.07,2025-11-21T08:32:14.149616+00:00
2025 N.Flying LIVE ‘&CON4 ENCORE : Let’s Roll &4EVER’,TICKET LINK LIVE ARENA (OLYMPIC HANDBALL GYMNASIUM),2025.12.19 - 2025.12.21,2025-11-21T08:32:14.149616+00:00
Cloudybay Solo Concert: Born from Blue,살롱 문보우/,2025.12.06 - 2025.12.06,2025-11-21T08:32:14.149616+00:00
YOUNG 40 CLUB PARTY (영포티클럽파티),아라비안나이트,2025.12.11 - 2025.12.11,2025-11-21T08:32:14.149616+00:00
2025 can’t be blue BLUE LIVE : CLUB FF,홍대 클럽 FF/,2025.12.12 - 2025.12.12,2025-11-21T08:32:14.149616+00:00
Taejong Concert 〈Lovecraft〉,"현대카드 UNDERSTAGE, 언더스테이지/",2025.12.27 - 2025.12.27,2025-11-21T08:32:14.149616+00:00
"[Gwangju] 2025 Broccoli, you too? Winter concert - Moments we’ll never see again",광주북구문화센터,2025.12.30 - 2025.12.30,2025-11-21T08:32:14.149616+00:00
HATSUNE MIKU EXPO 2025 in Seoul,Korea University Hwajeong Tiger Dome,2025.11.29 - 2025.11.30,2025-11-21T08:32:14.149616+00:00
COOING 1st fan meeting [TREASURE BOX],Club onair,2025.12.20 - 2025.12.20,2025-11-21T08:32:14.149616+00:00
2025 SONG SOHEE CONCERT : RE:5,Nodeulisland Live house,2025.12.06 - 2025.12.07,2025-11-21T08:32:14.149616+00:00
jeonjinhee’s room [present],Veloso Hongdae,2025.12.19 - 2025.12.21,2025-11-21T08:32:14.149616+00:00
natori Asia Tour 2025 in Seoul,YES24 LIVE HALL,2025.11.21 - 2025.11.22,2025-11-21T08:32:14.149616+00:00
The 77th LIVE CLUB DAY,LIVE CLUB DAY,2025.11.28 - 2025.11.28,2025-11-21T08:32:14.149616+00:00
Musical 〈Dekabri〉,NOL 서경스퀘어 스콘 1관,2025.09.10 - 2025.11.30,2025-11-21T08:32:14.149616+00:00
"MEETING ROOM 005 : cloud koh, mayu",서보미술문화공간/,2025.12.13 - 2025.12.13,2025-11-21T08:32:14.149616+00:00
DADADA 1st EP SHOWCASE,Veloso Hongdae,2025.12.03 - 2025.12.03,2025-11-21T08:32:14.149616+00:00
Ahn Yeeun Solo Concert 〈9th OTAKURISTMAS〉,Baekam Art Hall,2025.12.14 - 2025.12.14,2025-11-21T08:32:14.149616+00:00
LUAMEL Year-end Concert 〈Journey : Navigator〉,클럽온에어/,2025.12.06 - 2025.12.06,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT season8 OUR UNIVERSE [DEFAULT. Solo Concert],Club onair,2025.12.08 - 2025.12.08,2025-11-21T08:32:14.149616+00:00
Koh Sangji Concert 〈ADVENTURERS’ GUILD〉,Sejong S Theater,2025.12.30 - 2025.12.31,2025-11-21T08:32:14.149616+00:00
Musical 〈BONNIE AND CLYDE〉,HONGIK DAEHANGNO ART CENTER/GRAND THEATER,2025.12.11 - 2026.03.02,2025-11-21T08:32:14.149616+00:00
2025 THE CRY ground - Last Holiday,부산 벡스코(BEXCO)/제 1전시장,2025.12.28 - 2025.12.28,2025-11-21T08:32:14.149616+00:00
FRUITS ZIPPER 1st ASIA TOUR 2025 in Seoul,"Kwangwoon University, Donghae Arts Center",2025.11.29 - 2025.11.29,2025-11-21T08:32:14.149616+00:00
Hangronan Concert 〈Broken spectre〉,Rolling Hall,2025.12.12 - 2025.12.12,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT season 8 [Chungyoile solo concert ‘푸르름을 안고 가장 어두운 곳으로’],Club onair,2025.12.11 - 2025.12.11,2025-11-21T08:32:14.149616+00:00
Personal Space : Kangziwon,GONGSANGONDO,2025.12.13 - 2025.12.14,2025-11-21T08:32:14.149616+00:00
Latin Kitchen Luna Concert 〈Latin Kitchen Luna’s Christmas〉,Sejong S Theater,2025.12.25 - 2025.12.25,2025-11-21T08:32:14.149616+00:00
HONG EUNKI FAN SIGN EVENT [Our secret signal],마이원 타워 B1,2025.11.22 - 2025.11.22,2025-11-21T08:32:14.149616+00:00
EXO’verse,INSPIRE ARENA,2025.12.14 - 2025.12.14,2025-11-21T08:32:14.149616+00:00
MUSICAL 〈MAN IN HANBOK〉 Subtitle Glasses Pre-order Service,CHUNGMU ARTS CENTER / GRAND THEATER,2025.12.09 - 2026.03.08,2025-11-21T08:32:14.149616+00:00
2025 JANG DONG WOO FAN MEETING 〈AWAKE〉,Sungshin Women＇s Univ．Woonjung Green Campus Grand Hall,2025.11.29 - 2025.11.29,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT IN LIVE CLUB [S!o Solo Concert],공상온도/,2025.12.03 - 2025.12.03,2025-11-21T08:32:14.149616+00:00
Someday Christmas 2025,Busan BEXCO 1st Exhibition Hall,2025.12.25 - 2025.12.27,2025-11-21T08:32:14.149616+00:00
리치맨과 그루브나이스 NEW EP 앨범 〈Gumball Machine〉 발매 기념 공연,SPACE BRICK,2025.12.19 - 2025.12.19,2025-11-21T08:32:14.149616+00:00
2025 DOH KYUNG SOO ASIA CONCERT TOUR 〈DO it! THE FINAL〉,Korea University Hwajeong Tiger Dome,2025.12.06 - 2025.12.07,2025-11-21T08:32:14.149616+00:00
2025–2026 KIM JAE WON WORLD TOUR FANMEETING 〈THE MOMENT WE MET – The Prologue in Seoul〉,흰물결아트센터/화이트홀,2025.11.30 - 2025.11.30,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT x For:Rest LIVE “MONDAY:SOOP” [HOA Solo Concert],숲세권 라이브,2025.12.08 - 2025.12.08,2025-11-21T08:32:14.149616+00:00
Machine Girl LIVE IN SEOUL 2025,Rolling Hall,2025.12.04 - 2025.12.04,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT season 8 [TAEK WOO solo concert “What Ending”],Club onair,2025.12.04 - 2025.12.04,2025-11-21T08:32:14.149616+00:00
darin Year-end Concert 〈if love exists somewhere〉,Sejong S Theater,2025.12.28 - 2025.12.28,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT season 8 [GhostBookstore’s Solo Concert ‘Campfire and Ghosts’],Club onair,2025.12.01 - 2025.12.01,2025-11-21T08:32:14.149616+00:00
MONDAY PROJECT season8 [Wonho & The Time Machine Solo Concert ‘The private’],Club onair,2025.11.27 - 2025.11.27,2025-11-21T08:32:14.149616+00:00
