event_name,event_date,event_location,event_section,event_link,scraped_at_utc,uid
KpopX Fitness (November 2025 Edition),6 - 27 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/KpopX-Fitness-Nov-2025,2025-11-21 05:40:59+0000,KpopX Fitness (November 2025 Edition) | 6 - 27 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/KpopX-Fitness-Nov-2025
Singapore - International Disaster and Emergency Management Expo 2025,19 - 21 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/Singapore-International-Disaster-and-Emergency-Management-Expo-2025,2025-11-21 05:40:59+0000,Singapore - International Disaster and Emergency Management Expo 2025 | 19 - 21 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/Singapore-International-Disaster-and-Emergency-Management-Expo-2025
Universal Traveller Winter Wear & Luggage Mega Expo Sale,21 - 23 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/universal-traveller-winter-wear-luggage-mega-expo-sale,2025-11-21 05:40:59+0000,Universal Traveller Winter Wear & Luggage Mega Expo Sale | 21 - 23 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/universal-traveller-winter-wear-luggage-mega-expo-sale
Salam Fest,21 - 23 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/Salam-Fest,2025-11-21 05:40:59+0000,Salam Fest | 21 - 23 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/Salam-Fest
"Solar 3rd Concert ""Solaris"" in Singapore",22-Nov-25,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/Solar-3rd-Concert-Solaris-in-Singapore,2025-11-21 05:40:59+0000,"Solar 3rd Concert ""Solaris"" in Singapore | 22 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/Solar-3rd-Concert-Solaris-in-Singapore"
Babyland Mega One Stop Baby Fair,28 - 30 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/babyland-mega-one-stop-baby-fair,2025-11-21 05:40:59+0000,Babyland Mega One Stop Baby Fair | 28 - 30 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/babyland-mega-one-stop-baby-fair
Mercury Festival Fairies & Fable,28 - 30 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/Mercury-Festival-Fairies-N-Fable,2025-11-21 05:40:59+0000,Mercury Festival Fairies & Fable | 28 - 30 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/Mercury-Festival-Fairies-N-Fable
Singapore Urban Sport + Fitness Festival,29 - 30 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/singapore-urban-sport-fitness-festival,2025-11-21 05:40:59+0000,Singapore Urban Sport + Fitness Festival | 29 - 30 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/singapore-urban-sport-fitness-festival
AIA HYROX Singapore,29 - 30 Nov 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/AIA-HYROX-Singapore,2025-11-21 05:40:59+0000,AIA HYROX Singapore | 29 - 30 Nov 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/AIA-HYROX-Singapore
KpopX Fitness (December 2025 Edition),4 - 18 Dec 2025,,"6 - 27 Nov 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (November 2025 Edition)
KNOW MORE
19 - 21 Nov 2025
Hall 3
Singapore - International Disaster and Emergency Management Expo 2025
KNOW MORE
21 - 23 Nov 2025
Hall 6A
Universal Traveller Winter Wear & Luggage Mega Expo Sale
KNOW MORE
21 - 23 Nov 2025
Hall 6B
Salam Fest
KNOW MORE
22 Nov 2025
Arena @ EXPO
Solar 3rd Concert ""Solaris"" in Singapore
KNOW MORE
28 - 30 Nov 2025
Hall 6B
Babyland Mega One Stop Baby Fair
KNOW MORE
28 - 30 Nov 2025
Garnet Meeting Rooms
Mercury Festival Fairies & Fable
KNOW MORE
29 - 30 Nov 2025
Hall 2
Singapore Urban Sport + Fitness Festival
KNOW MORE
29 - 30 Nov 2025
Halls 3 - 5
AIA HYROX Singapore
KNOW MORE
4 - 18 Dec 2025
Atrium 6 (Outside Hall 6)
KpopX Fitness (December 2025 Edition)
KNOW MORE
5 - 8 Dec 2025
Hall 4
Asia Pacific Food Expo 2025
KNOW MORE
5 - 7 Dec 2025
Hall 6A
Beauty Fiesta Christmas 2025
KNOW MORE
5 Dec 2025
Arena @ EXPO
Tyla: We Wanna Party Asia in Singapore
KNOW MORE
LOAD MORE",https://www.singaporeexpo.com.sg/what-s-on/events-expo/KpopX-Fitness-December-2025,2025-11-21 05:40:59+0000,KpopX Fitness (December 2025 Edition) | 4 - 18 Dec 2025 |  | https://www.singaporeexpo.com.sg/what-s-on/events-expo/KpopX-Fitness-December-2025
