event_name,event_date,event_location,event_url,time_scraped_utc
SongYan Summer Festival（Ended）,2025/06/30 ~ 2025/09/07,"Songshan Cultural and Creative Park (No. 133, Guangfu S. Rd., Xinyi Dist., Taipei City) | Urban Action",https://trendy.taipei/en/Event/Detail?id=12,2025-12-02T04:42:16.286237+00:00
Taipei Metro Nakashi: Moon Lute Right Now and Right Loud!（Ended）,2025/07/05 ~ 2025/09/07,"Inside the train carriages on the Taipei Metro Beitou to Xinbeitou branch line, specifically in the first or third carriage. | Urban Action",https://trendy.taipei/en/Event/Detail?id=14,2025-12-02T04:42:16.286237+00:00
Play My Song（Ended）,2025/07/31 ~ 2025/10/19,"Taipei City Archives Shuxin (Jushin) Hall (No. 174-1, Sec. 1, Zhonghua Rd., Wanhua Dist., Taipei City) | Urban Action",https://trendy.taipei/en/Event/Detail?id=9,2025-12-02T04:42:16.286237+00:00
Taipei Super Live！（Ended）,2025/08/08 ~ 2025/09/07,Taipei's Live Houses | Concert Economy,https://trendy.taipei/en/Event/Detail?id=2,2025-12-02T04:42:16.286237+00:00
"TRENDY Fusion｜International Forum, TRENDY Talk & more!（Ended）",2025/08/25 ~ 2025/09/07,"Ambi Space One (Next to the Observatory ticket counter, Taipei 101 5F) | Industry Trends",https://trendy.taipei/en/Event/Detail?id=6,2025-12-02T04:42:16.286237+00:00
Trendy Taipei MRT Station Signature Tune（Ended）,2025/08/25 ~ 2025/09/07,"Nangang Station, Bannan Line | Urban Action",https://trendy.taipei/en/Event/Detail?id=15,2025-12-02T04:42:16.286237+00:00
TAIPEI MUSIC EXPO（Ended）,2025/08/28 ~ 2025/08/31,Taipei Music Center | Industry Trends,https://trendy.taipei/en/Event/Detail?id=4,2025-12-02T04:42:16.286237+00:00
Taipei Film Academy（Ended）,2025/08/28 ~ 2025/08/28,"Eslite Performance Hall (No. 88, Yanchang Road, Xinyi District, Taipei City, B1) | Industry Trends",https://trendy.taipei/en/Event/Detail?id=7,2025-12-02T04:42:16.286237+00:00
JAM JAM ASIA Music Festival（Ended）,2025/08/30 ~ 2025/08/31,"Taipei Music Center (No. 99, Sec. 8, Civic Blvd., Nangang Dist., Taipei City) | Concert Economy",https://trendy.taipei/en/Event/Detail?id=3,2025-12-02T04:42:16.286237+00:00
SouthSpark Art Fest（Ended）,2025/08/30 ~ 2025/11/02,"Around Shuiyuan Market, Gongguan Commercial District, National Taiwan University (NTU) (No. 92, Sec. 4, Roosevelt Rd., Zhongzheng Dist., Taipei City) | Urban Action",https://trendy.taipei/en/Event/Detail?id=10,2025-12-02T04:42:16.286237+00:00
Shilin Fairyland Disco（Ended）,2025/08/30 ~ 2025/08/31,"Taipei Performing Arts Center ( No. 1, Jiantan Rd., Shilin Dist., Taipei City"" No. 1, Jiantan Rd., Shilin Dist., Taipei City) | Urban Action",https://trendy.taipei/en/Event/Detail?id=11,2025-12-02T04:42:16.286237+00:00
"NOW, I also want to have an exhibition in a museum（Ended）",2025/08/30 ~ 2025/08/31,"Activity Hall 1F, MoCA TAIPEI (No. 39, Chang'an W. Rd., Datong Dist., Taipei City) | Urban Action",https://trendy.taipei/en/Event/Detail?id=13,2025-12-02T04:42:16.286237+00:00
StartSphere Taipei（Ended）,2025/09/02 ~ 2025/09/04,"POPOP TAIPEI, A2 & F Building (A2 & F Building, No. 13, Sec. 2, Nangang Rd., Nangang Dist., Taipei City) | Industry Trends",https://trendy.taipei/en/Event/Detail?id=8,2025-12-02T04:42:16.286237+00:00
Trendy Taipei Boom: Taipei Arena Collection（Ended）,2025/09/05 ~ 2025/09/07,臺北小巨蛋（台北市松山區南京東路四段2號） | Concert Economy,https://trendy.taipei/en/Event/Detail?id=16,2025-12-02T04:42:16.286237+00:00
